Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF,City
2027-04-30,18,-3579.0497760332605,-3331.537796175151,-130979.63030583656,-310521.147481898,-3783.539762170655,-3521.886117765449,NYC
2027-05-31,19,-3570.578823347198,-3328.682466791204,-134550.2091291838,-313849.82994868926,-3786.9418277742543,-3530.387505366283,NYC
2027-06-30,20,-3562.1250449824283,-3325.9746792614587,-138112.3341741662,-317175.8046279507,-3790.343893377854,-3539.063804855908,NYC
2027-07-31,21,-3553.6884190521964,-3323.3845321419103,-141666.0225932184,-320499.1891600926,-3793.745958981453,-3547.88466297716,NYC
2027-08-31,22,-3545.268923629718,-3320.8819388591583,-145211.2915168481,-323820.07109895174,-3797.148024585052,-3556.8191202570274,NYC
2027-09-30,23,-3536.8665367486747,-3318.438073312645,-148748.1580535968,-327138.5091722644,-3800.550090188652,-3565.837157770597,NYC
2027-10-31,24,-3528.481236403706,-3316.0264609874766,-152276.6392900005,-330454.5356332519,-3803.952155792251,-3574.910892198449,NYC
2027-11-30,25,-3520.113000550896,-3313.6237372953733,-155796.75229055138,-333768.1593705473,-3807.35422139585,-3584.015434258676,NYC
2027-12-31,26,-3511.761807108261,-3311.2101059138326,-159308.51409765964,-337079.3694764611,-3810.756286999449,-3593.129438091828,NYC
2028-01-31,27,-3503.427633956231,-3308.769537158863,-162811.9417316159,-340388.13901362,-3814.158352603049,-3602.23537791238,NYC
2028-02-29,28,-3495.1104589381307,-3306.289750341265,-166307.052190554,-343694.42876396124,-3817.5604182066472,-3611.319593561544,NYC
2028-03-31,29,-3486.8102598606592,-3303.762025123567,-169793.86245041466,-346998.1907890848,-3820.962483810247,-3620.3721489389504,NYC
2028-04-30,30,-3478.5270144943624,-3301.1808856472603,-173272.389464909,-350299.3716747321,-3824.3645494138464,-3629.386547140885,NYC
2028-05-31,31,-3470.260700574105,-3298.543698169604,-176742.65016548312,-353597.91537290165,-3827.7666150174455,-3638.359343994239,NYC
2028-06-30,32,-3462.011295799544,-3295.850218641793,-180204.66146128267,-356893.76559154346,-3831.1686806210446,-3647.289698043083,NYC
2028-07-31,33,-3453.778777835589,-3293.1021215376377,-183658.44023911827,-360186.86771308107,-3834.570746224644,-3656.1788903839433,NYC
2028-08-31,34,-3445.563124312873,-3290.3025357093643,-187104.00336343117,-363477.1702487904,-3837.9728118282433,-3665.0298424761577,NYC
2028-09-30,35,-3437.36431282821,-3287.4556074462275,-190541.3676762593,-366764.6258562367,-3841.3748774318415,-3673.8466545392057,NYC
2028-10-31,36,-3429.1823209450545,-3284.566105517092,-193970.5499972044,-370049.19196175376,-3844.7769430354415,-3682.6341816924864,NYC
2028-11-30,37,-3421.0171261939586,-3281.639077999034,-197391.5671233984,-373330.8310397528,-3848.179008639041,-3691.3976598343056,NYC
2028-12-31,38,-3412.868706073025,-3278.679566277106,-200804.4358294714,-376609.5106060299,-3851.58107424264,-3700.142388574138,NYC
2029-01-31,39,-3404.7370380483576,-3275.6923778364467,-204209.17286751972,-379885.20298386633,-3854.9831398462393,-3708.873474446277,NYC
2029-02-28,40,-3396.6220995545136,-3272.681916398519,-207605.79496707427,-383157.8849002649,-3858.385205449839,-3717.5956342130057,NYC
2029-03-31,41,-3388.5238679949407,-3269.6520655792688,-210994.3188350692,-386427.5369658441,-3861.7872710534375,-3726.3130553361216,NYC
2029-04-30,42,-3380.442320742431,-3266.606120536725,-214374.7611558117,-389694.1430863808,-3865.189336657037,-3735.029308645077,NYC
2029-05-31,43,-3372.3774351395537,-3263.546760972779,-217747.1385909512,-392957.6898473536,-3868.5914022606366,-3743.747306817212,NYC
2029-06-30,44,-3364.3291884990963,-3260.476058285725,-221111.46777945032,-396218.1659056393,-3871.9934678642353,-3752.469301448517,NYC
2029-07-31,45,-3356.297558104502,-3257.395509553657,-224467.76533755485,-399475.561415193,-3875.395533467835,-3761.196911155805,NYC
2029-08-31,46,-3348.282521210298,-3254.306091277001,-227816.04785876512,-402729.86750647,-3878.797599071434,-3769.931173229084,NYC
2029-09-30,47,-3340.2840550425312,-3251.2083263352038,-231156.33191380763,-405981.0758328052,-3882.199664675033,-3778.672611759808,NYC
2029-10-31,48,-3332.302136799192,-3248.102358336302,-234488.63405060684,-409229.1781911415,-3885.601730278632,-3787.421315822355,NYC
2029-11-30,49,-3324.336743650644,-3244.9880283848534,-237812.97079425748,-412474.1662195263,-3889.003795882232,-3796.177022103545,NYC
2029-12-31,50,-3316.387852740042,-3241.8649501988216,-241129.3586469975,-415716.0311697252,-3892.405861485831,-3804.939197287697,NYC
2030-01-31,51,-3308.4554411837585,-3238.7325804154834,-244437.81408818127,-418954.7637501407,-3895.80792708943,-3813.707116451578,NYC
2030-02-28,52,-3300.539486071798,-3235.5902817969363,-247738.35357425307,-422190.3540319376,-3899.2099926930296,-3822.47993465412,NYC
2030-03-31,53,-3292.639964468211,-3232.437377844824,-251030.9935387213,-425422.7914097824,-3902.6120582966287,-3831.256749780526,NYC
