Date,Month,Cumulative_Buying,Cumulative_Renting,Cost_Difference,Buying_Monthly,Renting_Monthly,Is_BreakEven,BreakEven_Month,BreakEven_Date,City
2036-11-30,133,267390.7122298841,214036.6281593428,53354.084070541314,1730.5075805636852,1915.630380743661,False,256,2047-02-28,Buffalo
2036-12-31,134,269123.0429539387,215957.69158232096,53165.35137161776,1732.3307240545855,1921.0634229781608,False,256,2047-02-28,Buffalo
2037-01-31,135,270857.20299146965,217884.2034565333,52972.99953493636,1734.1600375309226,1926.511874212339,False,256,2047-02-28,Buffalo
2037-02-28,136,272593.19853334315,219816.17923468197,52777.01929866121,1735.9955418735112,1931.9757781486487,False,256,2047-02-28,Buffalo
2037-03-31,137,274331.035791377,221753.63441329543,52577.40137808159,1737.837258033831,1937.4551786134907,False,256,2047-02-28,Buffalo
2037-04-30,138,276070.7209984113,223696.58453285295,52374.13646555832,1739.685207034267,1942.9501195575629,False,256,2047-02-28,Buffalo
2037-05-31,139,277812.2604083796,225645.0451779092,52167.21523047041,1741.53940996835,1948.460645056216,False,256,2047-02-28,Buffalo
2037-06-30,140,279555.66029638064,227599.031977219,51956.62831916162,1743.3998880009967,1953.9867993098048,False,256,2047-02-28,Buffalo
2037-07-31,141,281300.9269587494,229558.56060386304,51742.36635488636,1745.2666623687503,1959.528626644044,False,256,2047-02-28,Buffalo
2037-08-31,142,283048.0667131294,231523.64677537343,51524.41993775597,1747.1397543800254,1965.086171510364,False,256,2047-02-28,Buffalo
2037-09-30,143,284797.0858985448,233494.3062538597,51302.77964468507,1749.019185415348,1970.6594784862648,False,256,2047-02-28,Buffalo
2037-10-31,144,286547.9908754724,235470.55484613535,51077.436029337,1750.9049769276032,1976.2485922756773,False,256,2047-02-28,Buffalo
2037-11-30,145,288300.7880259147,237452.4084038447,50848.37962207,1752.7971504422765,1981.85355770932,False,256,2047-02-28,Buffalo
2037-12-31,146,290055.48375347233,239439.88282358972,50615.60092988258,1754.695727557702,1987.4744197450573,False,256,2047-02-28,Buffalo
2038-01-31,147,291812.0844834177,241432.994047058,50379.090436359664,1756.600729945308,1993.1112234682637,False,256,2047-02-28,Buffalo
2038-02-28,148,293570.5966627676,243431.7580611502,50138.838601617375,1758.512179349865,1998.7640140921803,False,256,2047-02-28,Buffalo
2038-03-31,149,295331.0267603573,245436.1908981085,49894.835862248816,1760.4300975897318,2004.432836958283,False,256,2047-02-28,Buffalo
2038-04-30,150,297093.3812669144,247446.30863564517,49647.072631269286,1762.354506557108,2010.117737536642,False,256,2047-02-28,Buffalo
